Date,ByteSize
2018-05-23,4146
2018-05-24,5607
2018-05-25,8673
2018-05-26,10838
2018-05-27,13207
2018-05-28,13885
2018-05-29,14804
2018-05-30,15331
2018-05-31,17641
2018-06-01,17641
2018-06-02,20499
2018-06-03,27123
2018-06-04,27844
2018-06-05,27090
2018-06-06,27090
2018-06-07,29093
2018-06-08,29093
2018-06-09,29093
2018-06-10,29093
2018-06-11,29093
2018-06-12,29093
2018-06-13,29093
2018-06-14,29283
2018-06-15,29283
2018-06-16,29283
2018-06-17,29283
2018-06-18,29283
2018-06-19,29283
2018-06-20,29283
2018-06-21,29283
2018-06-22,29283
2018-06-23,29283
2018-06-24,29283
2018-06-25,29283
2018-06-26,29283
2018-06-28,31397
2018-06-30,33286
2018-07-01,33286
2018-07-04,33286
2018-07-07,33286
2018-07-10,33286
2018-07-11,33286
2018-07-12,33286
2018-07-13,33286
2018-07-14,33286
2018-07-15,33286
2018-07-16,33286
2018-07-17,33286
2018-07-18,33286
2018-07-19,33286
2018-07-21,33286
2018-07-22,33286
2018-07-23,33286
2018-07-24,33286
2018-07-25,33286
2018-07-26,33286
2018-07-27,33286
2018-07-28,33286
2018-07-29,33286
2018-07-30,33286
2018-07-31,33286
2018-08-01,33286
2018-08-02,33286
2018-08-03,33286
2018-08-04,33286
2018-08-05,33286
2018-08-06,33286
2018-08-07,33286
2018-08-08,33286
2018-08-09,33286
2018-08-10,33286
2018-08-11,33286
2018-08-12,33286
2018-08-13,33286
2018-08-14,33286
2018-08-15,33286
2018-08-16,33286
2018-08-17,33286
2018-08-18,33286
2018-08-19,33286
2018-08-20,33286
2018-08-21,33286
2018-08-22,33286
2018-08-23,33286
2018-08-24,33286
2018-08-25,33286
2018-08-26,33286
2018-08-27,33286
2018-08-28,33286
2018-08-29,33286
2018-08-30,33286
2018-08-31,33286
2018-09-01,33286
2018-09-02,33286
2018-09-03,33286
2018-09-04,33286
2018-09-05,33286
2018-09-06,33286
2018-09-07,33286
2018-09-08,33286
2018-09-09,33286
2018-09-10,33286
2018-09-11,33286
2018-09-12,33286
2018-09-13,33286
2018-09-14,33286
2018-09-15,33286
2018-09-16,33286
2018-09-17,33286
2018-09-18,33286
2018-09-19,33286
2018-09-20,33286
2018-09-21,33286
2018-09-23,33286
2018-09-24,33286
2018-09-25,33286
2018-09-26,33286
2018-09-27,33286
2018-09-28,33286
2018-09-29,33286
2018-09-30,33286
2018-10-01,33286
2018-10-02,33286
2018-10-03,33286
2018-10-04,33286
2018-10-05,33286
2018-10-06,33286
2018-10-07,33286
2018-10-08,33286
2018-10-09,33286
2018-10-10,33286
2018-10-11,33286
2018-10-12,33286
2018-10-13,33286
2018-10-14,33286
2018-10-15,33286
2018-10-16,33286
2018-10-17,33286
2018-10-18,33286
2018-10-19,33286
